-3.619	0.140	0.413
-3.618	0.140	0.414
-3.616	0.140	0.416
-3.614	0.100	0.418
-3.612	0.100	0.420
-3.610	0.140	0.422
-3.608	0.140	0.424
-3.606	0.140	0.426
-3.604	0.140	0.428
-3.602	0.100	0.430
-3.600	0.140	0.432
-3.598	0.100	0.434
-3.596	0.100	0.436
-3.594	0.100	0.438
-3.593	0.100	0.439
-3.591	0.140	0.441
-3.589	0.100	0.443
-3.587	0.140	0.445
-3.585	0.100	0.447
-3.583	0.100	0.449
-3.581	0.100	0.451
-3.579	0.100	0.453
-3.577	0.100	0.455
-3.575	0.100	0.457
-3.573	0.100	0.459
-3.571	0.100	0.461
-3.570	0.100	0.462
-3.568	0.100	0.464
-3.566	0.100	0.466
-3.564	0.100	0.468
-3.562	0.100	0.470
-3.560	0.100	0.472
-3.558	0.100	0.474
-3.556	0.100	0.476
-3.554	0.100	0.478
-3.552	0.100	0.480
-3.550	0.100	0.482
-3.548	0.100	0.484
-3.546	0.100	0.486
-3.545	0.100	0.487
-3.543	0.100	0.489
-3.541	0.100	0.491
-3.539	0.060	0.493
-3.537	0.060	0.495
-3.535	0.100	0.497
-3.533	0.060	0.499
-3.531	0.100	0.501
-3.529	0.060	0.503
-3.527	0.100	0.505
-3.525	0.100	0.507
-3.523	0.100	0.509
-3.522	0.060	0.510
-3.520	0.100	0.512
-3.518	0.100	0.514
-3.516	0.100	0.516
-3.514	0.100	0.518
-3.512	0.060	0.520
-3.510	0.060	0.522
-3.508	0.100	0.524
-3.506	0.060	0.526
-3.504	0.060	0.528
-3.502	0.100	0.530
-3.500	0.060	0.532
-3.498	0.100	0.534
-3.497	0.100	0.535
-3.495	0.100	0.537
-3.493	0.100	0.539
-3.491	0.060	0.541
-3.489	0.060	0.543
-3.487	0.100	0.545
-3.485	0.060	0.547
-3.483	0.060	0.549
-3.481	0.060	0.551
-3.479	0.060	0.553
-3.477	0.060	0.555
-3.475	0.060	0.557
-3.474	0.060	0.558
-3.472	0.100	0.560
-3.470	0.060	0.562
-3.468	0.100	0.564
-3.466	0.060	0.566
-3.464	0.060	0.568
-3.462	0.060	0.570
-3.460	0.100	0.572
-3.458	0.060	0.574
-3.456	0.060	0.576
-3.454	0.060	0.578
-3.452	0.060	0.580
-3.450	0.060	0.582
-3.449	0.060	0.583
-3.447	0.060	0.585
-3.445	0.060	0.587
-3.443	0.060	0.589
-3.441	0.060	0.591
-3.439	0.060	0.593
-3.437	0.060	0.595
-3.435	0.060	0.597
-3.433	0.060	0.599
-3.431	0.060	0.601
-3.429	0.060	0.603
-3.427	0.100	0.605
-3.425	0.060	0.607
-3.424	0.060	0.608
-3.422	0.060	0.610
-3.420	0.060	0.612
-3.418	0.060	0.614
-3.416	0.060	0.616
-3.414	0.060	0.618
-3.412	0.060	0.620
-3.410	0.060	0.622
-3.408	0.060	0.624
-3.406	0.060	0.626
-3.404	0.060	0.628
-3.402	0.060	0.630
-3.401	0.060	0.631
-3.399	0.020	0.633
-3.397	0.060	0.635
-3.395	0.020	0.637
-3.393	0.060	0.639
-3.391	0.060	0.641
-3.389	0.060	0.643
-3.387	0.060	0.645
-3.385	0.060	0.647
-3.383	0.060	0.649
-3.381	0.060	0.651
-3.379	0.060	0.653
-3.377	0.060	0.655
-3.376	0.060	0.656
-3.374	0.060	0.658
-3.372	0.060	0.660
-3.370	0.060	0.662
-3.368	0.060	0.664
-3.366	0.020	0.666
-3.364	0.060	0.668
-3.362	0.060	0.670
-3.360	0.060	0.672
-3.358	0.060	0.674
-3.356	0.060	0.676
-3.354	0.060	0.678
-3.353	0.060	0.679
-3.351	0.060	0.681
-3.349	0.060	0.683
-3.347	0.060	0.685
-3.345	0.020	0.687
-3.343	0.060	0.689
-3.341	0.060	0.691
-3.339	0.060	0.693
-3.337	0.060	0.695
-3.335	0.060	0.697
-3.333	0.060	0.699
-3.331	0.060	0.701
-3.329	0.060	0.703
-3.328	0.060	0.704
-3.326	0.060	0.706
-3.324	0.060	0.708
-3.322	0.060	0.710
-3.320	0.060	0.712
-3.318	0.060	0.714
-3.316	0.060	0.716
-3.314	0.060	0.718
-3.312	0.060	0.720
-3.310	0.060	0.722
-3.308	0.060	0.724
-3.306	0.060	0.726
-3.305	0.060	0.727
-3.303	0.060	0.729
-3.301	0.060	0.731
-3.299	0.060	0.733
-3.297	0.060	0.735
-3.295	0.060	0.737
-3.293	0.060	0.739
-3.291	0.020	0.741
-3.289	0.020	0.743
-3.287	0.060	0.745
-3.285	0.060	0.747
-3.283	0.060	0.749
-3.281	0.060	0.751
-3.280	0.060	0.752
-3.278	0.060	0.754
-3.276	0.060	0.756
-3.274	0.060	0.758
-3.272	0.060	0.760
-3.270	0.060	0.762
-3.268	0.060	0.764
-3.266	0.060	0.766
-3.264	0.060	0.768
-3.262	0.060	0.770
-3.260	0.060	0.772
-3.258	0.060	0.774
-3.257	0.060	0.775
-3.255	0.060	0.777
-3.253	0.060	0.779
-3.251	0.060	0.781
-3.249	0.060	0.783
-3.247	0.060	0.785
-3.245	0.020	0.787
-3.243	0.060	0.789
-3.241	0.020	0.791
-3.239	0.060	0.793
-3.237	0.060	0.795
-3.235	0.060	0.797
-3.233	0.060	0.799
-3.232	0.060	0.800
-3.230	0.060	0.802
-3.228	0.060	0.804
-3.226	0.020	0.806
-3.224	0.060	0.808
-3.222	0.060	0.810
-3.220	0.060	0.812
-3.218	0.060	0.814
